ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
"179112","Test Case","Check to sort the values of the columns",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Admin sort the values ascending and descending for each column.","The user can sort correctly.",,,
"179113","Test Case","TC-3.1-N02: BR01 - should block editing name after linked to inspection form",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a request type.",,,,
,,,"2","Link it to an inspection form (UC-3.6).",,,,
,,,"3","Navigate to edit the request type.",,,,
,,,"4","Attempt to modify the name field.","Name field is disabled/read-only. System prevents editing per BR01.",,,
"179114","Test Case","TC-3.1-N03: BR01 - should block editing inspection type after linked to inspection form",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a request type.",,,,
,,,"2","Link it to an inspection form (UC-3.6).",,,,
,,,"3","Navigate to edit the request type.",,,,
,,,"4","Attempt to change the inspection type.","Inspection type radio buttons are disabled. System prevents editing per BR01.",,,
"179115","Test Case","TC-3.1-I01: created request type should appear in Inspection Form dropdown",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a request type with Incident type.",,,,
,,,"2","Navigate to Add Inspection Form (UC-3.6).",,,,
,,,"3","Select 'Request Incident' subtype.",,,,
,,,"4","Open the Request Type dropdown.","The newly created request type appears in the Request Type dropdown list.",,,
"179116","Test Case","TC-3.1-I01: created request type should appear in Scheduled Form dropdown",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a request type with Incident type.",,,,
,,,"2","Navigate to Add Inspection Form (UC-3.6).",,,,
,,,"3","Select 'Request Scheduled' subtype.",,,,
,,,"4","Open the Request Type dropdown.","The newly created request type appears in the Request Type dropdown list.",,,
"179117","Test Case","TC-3.1-I02: soft-deleted request type should not appear for new forms (delete first: incident request then delete scheduled)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create and then soft-delete a request type.",,,,
,,,"2","Navigate to Add Inspection Form (UC-3.6).",,,,
,,,"3","Open the Request Type dropdown.","The soft-deleted request type does NOT appear in the dropdown. Existing data referencing it remains intact.",,,
"179118","Test Case","Check to search/ reset search of name and display name",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Admin search for a specific name.","Request (s) matching will be displayed, and pagination will be working correctly.",,,
,,,"2","Admin search for a specific display name.","Request (s) matching will be displayed, and pagination will be working correctly.",,,
,,,"3","Admin reset the search.","All requests will be displayed again with pagination.",,,
"179119","Test Case","Verify unauthorized user cannot create Request Type",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Login as any user other than admin.","User logged in.",,,
,,,"2","Press on builders then request type.","This page will only be displayed to admin.",,,
,,,"3","Copy URL displayed to admin, and paste in supervisor as example.","Error displayed that the user can't view this page (don't have access).",,,
"179120","Test Case","Cancel the creation/ edit of request type",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Press on builders then request type.","
",,,
,,,"2","Navigate to Request Types list.","
",,,
,,,"3","Click 'Create Request Type'.","
",,,
,,,"4","Enter unique name.","
",,,
,,,"5","Enter display name.","
",,,
,,,"6","Select 'Scheduled' radio button.","
",,,
,,,"7","Click cancel.","The request type will not be created.",,,
,,,"8","Repeat when edit any type, then press on cancel.","The request type will not be edited.",,,
"179121","Test Case","Check after delete, admin can create the same request type again",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a request type.","
",,,
,,,"2","From the list, click Delete on the created row.","
",,,
,,,"3","Confirm deletion in the dialog.","Success message displayed. Request type disappears from the active list. Data is retained in the system (soft delete).",,,
,,,"4","Press on add new request.","
",,,
,,,"5","Fill the fields with same data deleted.","
",,,
,,,"6","Press on save.","Request type will be displayed correctly.",,,
