ID,Work Item Type,Title,Test Step,Step Action,Step Expected,Area Path,Assigned To,State
,,,"4","Click Save.","Validation error: Each step (except END) must have at least one Action (BR03). Workflow is NOT saved.",,,
"179158","Test Case","TC-3.4-N09: should not allow building workflow when request instances exist",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create requests using the form (instances exist).",,,,
,,,"2","Navigate to Build Workflow for that form.","System prevents workflow modification. Error indicates request instances already exist.",,,
"179159","Test Case","TC-3.4-I01: BR06 - actors should resolve from linking relationship",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a link (UC-3.5) with UG1.",,,,
,,,"2","Build workflow with Supervisor actor.",,,,
,,,"3","Create a request.",,,,
,,,"4","Check who receives the next step task.","Supervisors from linked UG1 receive the task as per the linking relationship (BR06).",,,
"179160","Test Case","TC-3.4-I02: BR07 - entity from linking should populate entity field",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Create a link with Entity Group 'EG1'.",,,,
,,,"2","Create a request through the linked form.",,,,
,,,"3","Check the Entity field.","Entity field is populated from the linked Entity Group (BR07).",,,
"179161","Test Case","TC-3.4-I03: BR05 - workflow should trigger when request is submitted",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Build a workflow with 3 steps (Creation -> Review -> End).","
",,,
,,,"2","Create a request (submits through Creation).","
",,,
,,,"3","Check workflow progress.","Workflow automatically moves to the Review step. Next step actor is assigned (BR05).
+ a notification will be displayed in the portal in notifications list (the request pending on his action -> and if click on it , he will be redirected to the task details).
Important to check the notification displayed to each user till the end of workflow.",,,
"179162","Test Case","Check that the admin can't activate the form (without fields and without workflow)
both should be valid",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Admin tries to activate without fields (or with invalid fields).",,,,
,,,"2","Admin tries to activate without workflow (or with invalid workflow)","Both should be valid and exist, to make activate form.",,,
"179163","Test Case","Check to deactivate forms (if not in use).",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Admin tries to deactivate a form (not in use).","Can deactivate correctly without errors.",,,
"179164","Test Case","Check to delete forms (If not in use).",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","1- Admin tries to delete a form (not in use).",,,,
,,,"2","2- When try to delete a form (in use).",,,,
,,,"3","3- Check to delete (not in use) active/ inactive form.",,,,
,,,"4","4- Check to delete linked form (but not in use).","1- Can delete correctly.
2- Error will be displayed as he can't delete it.
3- Can delete both correctly.
4- Can delete it -> and need to check the record in page (linking and targets).",,,
"179165","Test Case","Check to edit workflow (if form not in use)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Preconditions:",,,,
,,,"2","Admin already drag and drop fields (with editable/ visible to certain actors).",,,,
,,,"3","Steps:",,,,
,,,"4","1- Edit actor step 2 (from supervisor to manager as example).",,,,
,,,"5","2- Edit its actions.",,,,
,,,"6","3- Press on save.",,,,
,,,"7","4- Try to edit a form (in use).","1- The workflow will be updated (unless it is in use) -> check also the fields after editing actors/ actions.
2- The form (in use) can't be editable.",,,
"179166","Test Case","Check to delete any user (from users page) after being selected as an actor (try also to delete committee as example)",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Preconditions:",,,,
,,,"2","1- Admin select user X in step 2 as an actor.",,,,
,,,"3","2- He delete him from (users) page.",,,,
,,,"4","Steps:",,,,
,,,"5","Check the step 2 actor.",,,,
,,,"6","Repeat when deactivate any user.","The actor will be removed and the form will not be valid.",,,
"179167","Test Case","Check to delete any notification template after being used ",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Preconditions:",,,,
,,,"2","1- Admin select template X in step 2 as a notification.",,,,
,,,"3","2- He delete it from (Notifications Templates) page.",,,,
,,,"4","Steps:",,,,
,,,"5","Check the notifications in step 2.","The notification will be removed and the form will remain valid (as it is optional)",,,
"179168","Test Case","Check to clone invalid WF",,,,"Bravo-Product","Isadora Medhat <CODELABSYS\Isadora.Medhat>","Design"
,,,"1","Preconditions:",,,,
,,,"2","Created invalid workflow.",,,,
,,,"3","Steps:",,,,
,,,"4","Try to clone it.","Invalid workflow can't be cloned.",,,
